Time,TweetID,UserID,Text,Label,Category,Abuses
2015-07-27 08:16:31,625580510861897730,2921489126,papa g give the willpower to the #gurdaspurattack and blessed those  ...,2,1,
2015-07-27 15:28:16,625689164046962688,1134404599,"india planning to destroy pakistan , s economy through mysterious & enemical tactics it should be discouraged by uno & world #gurdaspurattack .",2,3,
2015-07-27 15:11:01,625684826583011328,3293023062,need to teach them a lesson like what we did in kargil 1999 http://t.co/kszut1xywo #interestingkargilfacts #gurdaspurattack .,2,3,
2015-07-27 13:22:22,625657481297924101,114182391,also award for creating most shittiest flag of the subcontinent goes to you  !,2,6,
2015-07-27 12:34:24,625645409931636736,275414027,plz stop balme game and do whatever india should don't need to give statement about pak bcoz india only speak but do nthing #gurdaspurattack .,2,1,
2015-07-27 16:01:38,625697561697873920,61458407,my condolences & respect for martyred cops in #gurdaspurattack  .,2,1,
2015-07-27 18:26:20,625733977840562176,2904745010,black monday it is for indian history rip #apjabdulkalam and #gurdaspurattack  !,2,1,
2015-07-27 07:16:59,625565530481491969,2445809827,in this attack any punjab terrist group will involve surely  .,2,3,
2015-07-27 14:08:13,625669021237514244,2243705821,very happy to see swat successfully completing their mission  .,2,1,
2015-07-27 15:46:18,625693704305557504,3224079032,we will always miss the father of missiles techs  .,2,1,
2015-07-27 18:10:22,625729960087457792,119819408,"#gurdaspurattack shown that the strategical points along the border should be chnaged , #india .",2,3,
2015-07-27 12:39:13,625646622303621120,162304163,"sec forces raise slogans of , jo bole so nihaal , & , bharat mata ki jai ,  ...",2,0,
2015-07-27 05:13:41,625534499024023553,3061195046,"just in on punjab terror attack , #intelligencebureau says the terrorists came from #narowal in #pakistan  .",2,0,
2015-07-27 08:02:39,625577023855964160,62474926,rip baljeet singh ji whtvr happnd iss soo bad so painful god bless their familiess #gurdaspurattack .,2,1,
2015-07-27 11:42:06,625632247945637888,176776063,so it's clear this time lahore will be wiped off from world map  .,2,6,
2015-07-27 15:49:42,625694559205330944,2256214177,"we shall clear the debt with , interest ,  .",2,6,
2015-07-27 11:45:48,625633181639667712,852445795,"india pak cricket series abandoned , when will we do something more against terror  ??",2,6,
2015-07-27 14:59:02,625681808890458113,1186989866,still pm modi wants friendship with pak  ??,2,2,
2015-07-27 21:49:55,625785209057751040,188086459,"27 th july , black day in indian history  !",2,6,
2015-07-27 12:54:10,625650383814156288,1531602170,now some political dog will start politics on this incident  .,2,2,
2015-07-27 13:44:27,625663038905974784,549049304,#pak get ready for a kick on ur asses  !,2,6,
2015-07-27 20:57:22,625771984408875008,45113753,"sakht fauji's law of commonsense , you cannot intercept real terrorists , when your forces are trained to capture #spypigeons  .",2,3,
2015-07-27 14:41:38,625677428741001216,108630313,"india won't be 1st to strike , but will strike back if hit , rajnath , that's what hindustan did for 1300 years  ..",2,2,
2015-07-27 12:20:55,625642017813479424,303665622,"so will they lose balochistan now , mr. doval  ?",2,6,
2015-07-27 07:19:01,625566041347764224,2207400312,still some bloody morons wants to arrest them alive rather killing them  ..,2,6,1
2015-07-27 08:51:19,625589270695120896,341425476,political parties must unite in the face of a national adversity rather than stall parliament  .,2,2,
2015-07-27 11:11:11,625624468115685377,92607757,"#gurdaspurattack terrorists will run out of ammunition , but its hard to catch them alive as they must have come prepared with cyanide capsule .",2,3,
2015-07-27 12:09:17,625639089576914944,438968821,news channels questioning relevance of talks with pak must stop inviting pak panelists too  ..,2,6,
2015-07-27 08:34:49,625585118673899520,43069339,"p for palestine , pakistan i for israel , india come on india  ..",2,6,
2015-07-27 10:42:09,625617160744869888,117767974,strongly condemn #gurdaspurattack which appears to have the signature of isi and hafiz saeed all over it  .,2,3,
2015-07-27 06:03:39,625547073761341440,2550711134,#indianarmy plz kill thoz #terrorist in #gurdaspur else later few moron will sign another mercy letters for #gurdaspurattack just kill them .,2,1,1
2015-07-27 12:08:21,625638854222069761,403395766,"#gurdaspurattack sp baljeet singh ji , nation never forget your scarifice rip salute to your bravery .",2,1,
2015-07-27 12:28:46,625643992470786048,140707843,"keep showing your expertise in guesswork on who did it , till we get a confirmed news  .",2,6,
2015-07-27 14:26:42,625673670833274881,963777211,slrs an effective rifle but not ideal in counter-insurgency operations  .,2,3,
2015-07-27 10:53:55,625620124892971009,43482129,"yes exactly , this is not the right time to do politics on #gurdaspurattack , be united bcoz united v stand , divided we fall .",2,1,
2015-07-27 09:22:11,625597039695368192,18972166,"we will not attack ourselves but when hit , will retaliate , go explain the effectiveness of this stupid policy 2 our martyrs #gurdaspurattack .",2,2,
2015-07-27 10:04:23,625607657940869120,3219061549,#gurdaspurattack you are very late to react the statement upon this terrorist attack .,2,6,
2015-07-27 12:41:32,625647206008160256,187422294,sufferings of sikhs & tamils are more in the hands of endangered central collusion in india than pakis at all times  .,2,5,
2015-07-27 13:08:17,625653938340036608,3226779524,why don't they deport #tigermemon & #dawood & prove they mean business  ?,2,6,
2015-07-27 13:30:46,625659595629793281,75347373,#gurdaspurattack heart goes out to the families whose near and dear ones are killed today  .,2,1,
2015-07-27 07:48:27,625573447943393281,181611185,"shud b no talks with pakistan , never ever , these people will never learn n can never b trusted , seal our borders , rip who died #gurdaspurattack .",2,1,
2015-07-27 17:37:39,625721725670457345,219671493,salute to panjab sp #sardarbaljitsingh who sacrifice his life for us #respect  .,2,1,
2015-07-27 12:19:31,625641666809098240,2917171854,police lay down their life to protect citizens and our politicians call them thullas  !,2,6,
2015-07-27 18:56:31,625741574429933568,520374504,we already suffering a lot with internal conflicts then  ..,2,1,
2015-07-27 15:28:31,625689227531939840,154436370,"#gurdaspurattack everybody talk about sp(d)baljit singh , but why not they talk about other brave martyrs  ?",2,6,
2015-07-27 11:46:05,625633251026161664,277360531,#gurdaspurattack #punjab salute to other police personnel also who lost their life and fought bravely today  !!,2,2,
2015-07-27 07:40:52,625571541271457792,307914491,got all legal options unlike those who die in terror attacks be it #gurdaspurattack or #mumbaiblast .,2,3,
2015-07-27 11:39:47,625631664316641280,124379145,my condolences to the families who r affected by #gurdaspurattack incl sp baljit singh succumbed to bullet injuries sustained in gun battle .,2,1,
2015-07-27 11:12:46,625624868252356608,330953810,"meanwhile , we won't play cricket or any other sports with pakistan , indian government #gurdaspurattack .",2,0,
2015-07-27 06:25:15,625552509776457728,97183553,can't help but wonder if there is a larger sinister purpose in play  !!,2,6,
2015-07-27 11:10:52,625624388331663361,3345748301,family is letting us know that there is still firing going on #gurdaspurattack http://t.co/tlszgcu93i .,2,0,
2015-07-27 12:15:46,625640720095952896,439922526,this time the wound that india inflicts on pak should become a gangrene  !,2,1,
2015-07-27 11:59:31,625636632184516608,147502937,"according2 #bajrangibhaijaan , infiltration thru loc is impossible so #gurdaspurattack is either #falseflag or indigenous  .",2,6,
2015-07-27 18:12:10,625730410719240192,2517447991,they panicked & attacked police station but the brave punjab police offered them tough resistance & trapped them inside #gurdaspurattack .,2,2,
2015-07-27 15:38:15,625691676460232704,221359256,my take #gurdaspurattack pls task nsa to audit ib & raw what is the return on investment of crs of rs  .,2,3,
2015-07-27 09:57:17,625605871788126208,80250633,terrorists in #gurdaspurattack has no religion today but we'll know their religion when they are about to be hanged  .,2,5,
2015-07-27 11:55:26,625635606471790592,320563079,"is helping terrorists , who kill innocents&cops , gladiatorial sport  ?",2,6,
2015-07-27 04:07:26,625517829479993344,160068560,tragic to see terror attacks in gurdaspur  ..,2,1,
2015-07-27 19:35:35,625751405874143232,3056297312,kill doval n it will b okay soon #gurdaspurattack .,2,2,
2015-07-27 11:00:23,625621752039673858,254405503,"already drafted tweet by & , terror has no religion , #gurdaspurattack .",2,1,
2015-07-27 10:14:21,625610164226293761,2416903698,agreed with kindly pass on our sentiment to the govt  .,2,6,
2015-07-27 13:33:51,625660370682671104,3300746110,don't take apologies and sympathies from pak  .,2,1,
2015-07-27 12:33:32,625645191114788865,92734920,this snapping of cricket ties sounds more threatning than the n-word  !,2,1,
2015-07-27 08:40:37,625586576534339584,2821703862,salute to sp baljeet singh who lost his life during #gurdaspurattack operation http://t.co/1jlue4aal6 .,2,1,
2015-07-27 13:00:19,625651931436855297,114196522,or he is busy packing his luggage for another foreign trip  ?,2,6,
2015-07-27 11:59:33,625636639549865984,954047802,we have brave men in our #police forces- tukaram omble is a fine case in poin t.t hey need proper equipment & training  .,2,2,
2015-07-27 15:12:52,625685291244781570,110316280,heart was coming out to see #india united against terror  .,2,1,
2015-07-27 13:27:05,625658668491497472,161573657,"#gurdaspurattack terrible , unacceptable intelligence failure feeling a little let down by and ajit doval :-( .",2,2,
2015-07-27 09:59:48,625606503060209664,776623117,this dumb supporting people behind terrorism #gurdaspurattack #gurdaspur https://t.co/qgfmki2dha http://t.co/vekfqxqpok .,2,6,
2015-07-27 14:37:57,625676501610946560,75610842,"even before #gurdaspurattack terrorists hunted , congis did anti bjp protest  .",2,2,
2015-07-28 03:10:47,625865960000323585,21077486,incredible bravery shown by punjab police in #gurdaspurattack  .,2,2,
2015-07-28 10:42:25,625979618001059840,582410166,"i'm standing next to someone , who went to school with police officer baljeet singh , in nakodar , punjab , #ripbaljeet #gurdaspurattack .",2,0,
2015-07-27 15:56:10,625696188235390976,3187037419,hows this when people of #maharatbaata knows that their own military forces are also involved  .,2,6,
2015-07-27 05:40:14,625541180604874752,127287340,this isn't the time but i remember boasting about no #terror attack under #modi govt now will he condemn #gurdaspurattack .,2,2,
2015-07-27 08:37:42,625585842895990784,143039514,pm disappoint with x on #gharwapsi pm disappoint with y on #haramzade pm disappoint with z on #gurdaspurattack disappointing pm .,2,2,
2015-07-27 21:32:38,625780862345420801,99136355,"india media covered attacks as , terror attacks , #perth #paris but wc international media covering #gurdaspurattack as a , terrorist strike'  ?",2,6,
2015-07-27 14:46:52,625678745760694272,258783082,indian should feel this pain that we baloch suffering from last 6 decades  .,2,6,
2015-07-27 12:51:53,625649810947715072,708601074,we all need to stop blaming each other and lets tackle this together  ....,2,1,
2015-07-27 14:17:09,625671269095243776,29837362,"beware of hounds who cry for war , not justice  .",2,6,
2015-07-27 13:23:42,625657818725486592,597724586,"extremely sad and embarrassing prayers for victims , whole pakistani nation condemn this brutal & coward attack , stay safe  .",2,1,
